column_ref,code,description,notes
"report.status","IN_PROGRESS","In progress",""
"report.status","SUBMITTED","Submitted",""
"report.status","COMPLETE","Complete",""
"statement.statement_status","PENDING","Pending",""
"statement.statement_status","SUBMITTED","Submitted",""
"report_log.action","REPORT_CREATED","A report was created","username is 'SYSTEM' for automatic transitions"
"report_log.action","REPORT_MODIFIED","An existing report was changed","username is 'SYSTEM' for automatic transitions"
"report_log.action","REPORT_DELETED","A report was soft-deleted","username is 'SYSTEM' for automatic transitions"
"report_log.action","REPORT_SUBMITTED","A report was submitted, creating the statements it requires","username is 'SYSTEM' for automatic transitions"
"report_log.action","REPORT_STATUS_CHANGED","The report moved between IN_PROGRESS, SUBMITTED and COMPLETE","username is 'SYSTEM' for automatic transitions"
"report_log.action","REPORT_COMPLETED","Every required statement had been submitted, completing the report","username is 'SYSTEM' for automatic transitions"
"report_edit.reason","errorInReport","Error in report","set by the coordinator edit and involved-staff flows"
"report_edit.reason","somethingMissingFromReport","Something missing","set by the coordinator edit and involved-staff flows"
"report_edit.reason","newEvidence","New evidence","set by the coordinator edit and involved-staff flows"
"report_edit.reason","anotherReasonForEdit","Another reason","set by the coordinator edit and involved-staff flows"
"report_edit.reason","forgottenInReport","Forgotten in report","set by the coordinator edit and involved-staff flows"
"report_edit.reason","bodycamFootageRevealedinvolved","Bodycam footage revealed they were involved","set by the coordinator edit and involved-staff flows"
"report_edit.reason","footageRevealedNotInvolved","Bodycam or CCTV footage revealed the person was not involved","set by the coordinator edit and involved-staff flows"
"report_edit.reason","personAddedInError","The person was confused for someone else and added in error","set by the coordinator edit and involved-staff flows"
"report_edit.reason","duplicateReport","It is a duplicate report","used when the edit is a report deletion"
"report_edit.reason","notUofIncident","The incident was not a use of force incident","used when the edit is a report deletion"
"report_edit.reason","anotherReason","Another reason, given in free text","used when the edit is a report deletion"
"report.form_response -> reasonsForUseOfForce.reasons[]","ASSAULT_ON_ANOTHER_PRISONER","Assault on another prisoner",""
"report.form_response -> reasonsForUseOfForce.reasons[]","ASSAULT_ON_A_MEMBER_OF_STAFF","Assault on a member of staff",""
"report.form_response -> reasonsForUseOfForce.reasons[]","FIGHT_BETWEEN_PRISONERS","Fight between prisoners",""
"report.form_response -> reasonsForUseOfForce.reasons[]","TO_PREVENT_HARM_ASSAULT_OR_HARM_TO_OTHERS","To prevent harm, assault or harm to others",""
"report.form_response -> reasonsForUseOfForce.reasons[]","ASSAULT_BY_A_MEMBER_OF_PUBLIC","Assault by a member of public",""
"report.form_response -> reasonsForUseOfForce.reasons[]","PHYSICAL_THREAT","Physical threat",""
"report.form_response -> reasonsForUseOfForce.reasons[]","VERBAL_THREAT","Verbal threat",""
"report.form_response -> reasonsForUseOfForce.reasons[]","REFUSAL_TO_LOCATE_TO_CELL","Refusal to locate to cell",""
"report.form_response -> reasonsForUseOfForce.reasons[]","REFUSAL_TO_TRANSFER","Refusal to transfer",""
"report.form_response -> reasonsForUseOfForce.reasons[]","REFUSAL_TO_RELOCATE_CELLS","Refusal to relocate cells",""
